                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6659,                 2.1496,                 1.1178,                0.85382,                0.86585,                0.91146,                0.39722,                 1.7495,                 1.5036,                 1.2358,              0.0006637,              0.0006637,              0.0006637
                      2,                 1.6432,                 1.4355,                 1.1324,                0.75554,                0.77266,                0.74535,                0.29465,                 1.8608,                 1.3507,                 1.2603,               0.001304,               0.001304,               0.001304
                      3,                 1.6096,                  1.257,                 1.1229,                0.91223,                 0.8872,                0.93932,                0.41763,                  1.607,                  1.153,                 1.1631,               0.001918,               0.001918,               0.001918
                      4,                 1.5995,                 1.1758,                 1.1249,                0.86801,                0.84209,                 0.8797,                0.36649,                 1.7745,                 1.0542,                 1.2582,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.5957,                 1.1203,                 1.1102,                0.95177,                0.94512,                0.96051,                0.51714,                 1.5079,                0.91616,                   1.11,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.6324,                 1.0982,                 1.1435,                0.95556,                0.91777,                 0.9594,                0.48794,                 1.6147,                0.88333,                 1.1524,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.5429,                 0.9845,                 1.0898,                0.87891,                0.86585,                0.88561,                0.34963,                 1.8239,                 1.0356,                 1.2864,               0.001802,               0.001802,               0.001802
                      8,                 1.5641,                0.95734,                  1.115,                   0.91,                0.84756,                  0.921,                0.40165,                 1.7528,                0.98288,                 1.2179,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.5157,                0.92006,                 1.0907,                0.93872,                0.93408,                0.95764,                0.47216,                 1.5979,                0.85058,                   1.16,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.5135,                0.87211,                 1.0823,                0.94951,                0.92683,                0.96217,                0.49254,                 1.5991,                0.84427,                 1.1549,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.4764,                0.91621,                 1.0755,                0.93896,                0.93802,                0.95532,                0.42655,                 1.8501,                0.87165,                 1.2711,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.5059,                0.89071,                 1.0945,                0.94154,                0.92073,                0.95673,                0.44117,                 1.6938,                0.88968,                 1.1971,               0.001604,               0.001604,               0.001604
                     13,                  1.494,                 0.8512,                  1.079,                0.93115,                0.89634,                0.94429,                0.48277,                 1.6384,                0.76922,                 1.1634,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.4777,                0.85906,                 1.0749,                0.94655,                0.86387,                0.93694,                0.41525,                 1.8282,                0.82262,                 1.2705,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.5071,                0.82339,                 1.0758,                0.92496,                0.91463,                 0.9492,                0.45271,                  1.681,                 0.8215,                 1.1833,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.4627,                0.82523,                 1.0729,                0.94504,                0.93902,                0.96636,                0.45524,                 1.6855,                0.84614,                 1.1954,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.4576,                0.80025,                 1.0529,                 0.9283,                0.90854,                0.95543,                0.47668,                 1.6332,                0.77077,                 1.1644,               0.001406,               0.001406,               0.001406
                     18,                 1.4928,                0.78356,                 1.0736,                0.95055,                0.93293,                 0.9592,                0.48397,                  1.629,                0.72187,                 1.1531,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.4602,                0.77073,                 1.0659,                 0.9552,                0.93902,                0.96393,                0.50892,                 1.5332,                0.71551,                 1.1228,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.4695,                0.78983,                 1.0497,                0.97419,                0.92073,                0.96535,                0.48714,                 1.6761,                0.72431,                  1.189,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.4415,                0.77178,                 1.0495,                0.94453,                0.93438,                0.94637,                0.42279,                 1.7967,                0.73322,                 1.2395,              0.0012476,              0.0012476,              0.0012476
                     22,                  1.444,                0.75994,                 1.0707,                0.95548,                0.95122,                 0.9609,                0.46493,                 1.6817,                0.69906,                 1.1909,               0.001208,               0.001208,               0.001208
                     23,                 1.4298,                0.74929,                 1.0556,                0.96195,                0.92483,                 0.9613,                0.47226,                 1.6593,                0.74018,                 1.1839,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.4515,                0.74216,                 1.0534,                0.94056,                0.95122,                0.97262,                0.50881,                 1.5611,                0.68668,                 1.1277,              0.0011288,              0.0011288,              0.0011288
