                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4711,                 4.1534,                 1.0583,                 0.5679,                0.11443,                0.33512,                0.15645,                 2.2639,                 4.0854,                 1.0678,               0.067846,             0.00032479,             0.00032479
                      2,                 2.3632,                 2.0412,                0.99609,                0.12965,                0.64179,                0.35406,                0.13819,                 2.2829,                 2.7138,                 1.0802,               0.034845,             0.00065682,             0.00065682
                      3,                 2.2303,                 1.6764,                0.98369,                0.51745,                0.43284,                0.42211,                  0.152,                 2.2341,                 1.9002,                  1.024,              0.0018422,             0.00098753,             0.00098753
                      4,                 2.2315,                 1.6389,                0.98068,                0.54945,                0.29353,                0.36629,                0.14401,                 2.2651,                 2.3365,                 1.0212,             0.00099406,             0.00099406,             0.00099406
                      5,                 2.1972,                 1.5372,                0.98762,                0.50791,                0.44161,                0.46037,                0.17206,                 2.2043,                 1.8179,                 1.0306,             0.00099406,             0.00099406,             0.00099406
                      6,                  2.192,                 1.5047,                0.97361,                0.42859,                0.32587,                 0.3066,                0.10786,                 2.4844,                 2.0209,                 1.0652,             0.00099208,             0.00099208,             0.00099208
                      7,                 2.0852,                 1.3671,                 0.9779,                0.57171,                 0.5796,                0.58521,                 0.2198,                 2.0458,                 1.3875,                  1.002,              0.0009901,              0.0009901,              0.0009901
                      8,                 2.0937,                 1.3516,                0.97422,                0.69993,                0.54478,                0.63959,                0.23412,                 2.0335,                 1.4559,                0.99141,             0.00098812,             0.00098812,             0.00098812
                      9,                 2.1117,                  1.333,                0.97556,                0.72398,                0.57711,                 0.6493,                 0.2452,                 2.0634,                  1.388,                0.99505,             0.00098614,             0.00098614,             0.00098614
                     10,                 2.0648,                 1.2879,                0.94871,                0.74934,                0.64677,                0.71109,                0.28041,                  1.967,                 1.3499,                0.98521,             0.00098416,             0.00098416,             0.00098416
                     11,                 2.0109,                 1.2513,                0.95506,                0.57202,                0.43284,                0.45465,                0.15091,                 2.3644,                 1.8545,                  1.032,             0.00098218,             0.00098218,             0.00098218
                     12,                 1.9952,                 1.2035,                 0.9517,                0.62105,                0.57711,                0.57978,                0.20879,                 2.1874,                 1.4818,                 1.0056,              0.0009802,              0.0009802,              0.0009802
                     13,                 2.0361,                 1.1862,                0.94619,                0.68075,                 0.5796,                 0.6334,                0.23285,                 2.1124,                 1.5241,                0.99808,             0.00097822,             0.00097822,             0.00097822
                     14,                 1.9651,                 1.1619,                0.95476,                 0.6293,                0.60199,                0.61539,                0.21985,                 2.1633,                 1.3963,                  1.008,             0.00097624,             0.00097624,             0.00097624
                     15,                 1.9845,                 1.1679,                0.93468,                0.65229,                0.62999,                0.64667,                0.25356,                 2.1296,                 1.3769,                0.99526,             0.00097426,             0.00097426,             0.00097426
                     16,                 1.9657,                 1.1464,                0.95001,                0.68999,                0.62189,                0.66902,                0.26774,                  2.055,                 1.4679,                0.99369,             0.00097228,             0.00097228,             0.00097228
                     17,                 1.9711,                 1.1078,                0.93539,                  0.754,                0.64044,                0.69272,                0.27219,                 2.0134,                   1.41,                0.97542,              0.0009703,              0.0009703,              0.0009703
                     18,                  2.028,                 1.1443,                0.94061,                0.73744,                0.68408,                0.73598,                0.28027,                 2.0246,                 1.3874,                0.97226,             0.00096832,             0.00096832,             0.00096832
                     19,                 1.9862,                 1.1294,                0.94529,                0.79104,                0.68905,                 0.7531,                 0.2958,                 1.9713,                 1.2528,                0.98331,             0.00096634,             0.00096634,             0.00096634
