                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7902,                 6.4179,                 1.2137,                0.00012,                0.00498,                  6e-05,                  1e-05,                 5.2133,                    inf,                 3.6403,                 0.0829,                 0.0019,                 0.0019
                      2,                 2.6355,                 2.3698,                 1.0889,                0.00013,                0.00498,                  4e-05,                      0,                    nan,                    nan,                    nan,               0.064892,              0.0038923,              0.0038923
                      3,                  2.553,                 2.2406,                 1.1335,                0.00013,                0.00498,                  4e-05,                      0,                    nan,                    nan,                    nan,               0.046877,              0.0058766,              0.0058766
                      4,                 2.4741,                  2.077,                 1.0705,                0.01111,                0.00249,                0.00202,                0.00041,                 5.1348,                    inf,                 1.8478,               0.028853,              0.0078531,              0.0078531
                      5,                 2.4619,                 1.9829,                 1.0799,                 0.0003,                 0.0199,                0.00015,                  4e-05,                 5.3165,                    inf,                 4.7496,               0.010822,              0.0098216,              0.0098216
                      6,                 2.4282,                 1.9697,                 1.0793,                0.06972,                0.22139,                0.05438,                 0.0115,                 3.4964,                  42.13,                 1.6226,               0.009901,               0.009901,               0.009901
                      7,                 2.3763,                 1.8792,                 1.0643,                0.05851,                0.08706,                0.02664,                 0.0075,                 3.3685,                 8.5318,                 1.3216,               0.009901,               0.009901,               0.009901
                      8,                 2.3021,                 1.7566,                 1.0467,                0.23614,                0.31095,                0.17186,                0.04919,                 2.6635,                 2.8038,                 1.1643,              0.0098812,              0.0098812,              0.0098812
                      9,                 2.3176,                 1.8139,                 1.0439,                0.14215,                0.18159,                0.06064,                0.01485,                 3.6575,                 2.6363,                 1.6349,              0.0098614,              0.0098614,              0.0098614
                     10,                 2.2623,                 1.6859,                 1.0277,                0.34305,                0.14428,                0.09845,                 0.0282,                 3.0598,                 2.7578,                 1.3003,              0.0098416,              0.0098416,              0.0098416
                     11,                 2.2604,                 1.6981,                 1.0273,                0.07331,                0.08209,                0.02019,                0.00585,                 3.2771,                 2.8218,                 1.3092,              0.0098218,              0.0098218,              0.0098218
                     12,                 2.2694,                 1.7021,                 1.0374,                0.22921,                0.20398,                 0.0974,                0.02745,                 2.8059,                 2.8161,                 1.1698,               0.009802,               0.009802,               0.009802
                     13,                 2.2479,                 1.7049,                 1.0293,                0.31797,                0.18905,                 0.1613,                0.05767,                 2.3765,                 3.1032,                  1.117,              0.0097822,              0.0097822,              0.0097822
                     14,                 2.2097,                  1.652,                 1.0452,                0.29195,                0.24876,                0.16854,                0.05483,                 2.5316,                 2.4182,                 1.1281,              0.0097624,              0.0097624,              0.0097624
                     15,                 2.1869,                 1.5974,                 1.0237,                0.23826,                0.24378,                0.11887,                0.03937,                 3.2029,                 2.4453,                 1.2909,              0.0097426,              0.0097426,              0.0097426
                     16,                  2.213,                 1.5976,                 1.0353,                0.39372,                0.41542,                0.32295,                0.10219,                 2.5814,                 2.9371,                 1.1597,              0.0097228,              0.0097228,              0.0097228
                     17,                 2.2036,                 1.5731,                 1.0284,                0.41966,                0.36567,                0.28788,                0.08647,                 2.6529,                 2.2504,                 1.1497,               0.009703,               0.009703,               0.009703
                     18,                 2.0914,                 1.4145,                0.99559,                0.44987,                0.52279,                0.43674,                0.15594,                  2.153,                 1.6565,                  1.055,              0.0096832,              0.0096832,              0.0096832
                     19,                 2.1617,                 1.4934,                 1.0319,                0.53391,                0.47015,                0.43742,                0.14271,                 2.3349,                 1.7073,                 1.0907,              0.0096634,              0.0096634,              0.0096634
                     20,                  2.241,                  1.525,                 1.0514,                0.58551,                0.48492,                0.49949,                0.17177,                 2.2513,                 1.8216,                 1.0792,              0.0096436,              0.0096436,              0.0096436
                     21,                 2.2213,                 1.5181,                  1.029,                0.22546,                0.21642,                  0.108,                0.02439,                 3.1968,                 2.5884,                 1.2784,              0.0096238,              0.0096238,              0.0096238
                     22,                 2.1867,                 1.4648,                  1.002,                0.48808,                0.44776,                0.39915,                0.12478,                 2.4342,                 1.8054,                 1.0873,               0.009604,               0.009604,               0.009604
                     23,                 2.1437,                 1.4462,                 1.0001,                0.58891,                0.55947,                0.52283,                0.18495,                  2.224,                 1.6199,                 1.0663,              0.0095842,              0.0095842,              0.0095842
                     24,                 2.1012,                 1.3682,                0.99746,                 0.5708,                0.53731,                0.50218,                0.19304,                 2.1483,                 1.8014,                 1.0551,              0.0095644,              0.0095644,              0.0095644
                     25,                 2.1262,                 1.4812,                  1.013,                0.41015,                0.31095,                0.28039,                0.08742,                 2.2172,                 2.4187,                 1.0568,              0.0095446,              0.0095446,              0.0095446
                     26,                 2.1585,                  1.497,                 1.0184,                0.37214,                0.31095,                0.21761,                0.05918,                 2.6559,                 2.1925,                 1.1536,              0.0095248,              0.0095248,              0.0095248
                     27,                 2.0925,                 1.3905,                 1.0056,                0.55985,                0.52736,                0.46889,                0.15017,                 2.3145,                 1.6692,                 1.1015,               0.009505,               0.009505,               0.009505
                     28,                 2.0781,                 1.3458,                0.99693,                0.58299,                0.39303,                0.37922,                0.12847,                 2.3027,                  6.703,                 1.0964,              0.0094852,              0.0094852,              0.0094852
                     29,                 2.0811,                 1.3343,                 1.0011,                0.52657,                0.48756,                0.47974,                0.16293,                 2.2422,                 1.7464,                 1.0749,              0.0094654,              0.0094654,              0.0094654
                     30,                  2.055,                 1.3409,                0.98924,                 0.5741,                0.41045,                0.39964,                0.12653,                 2.4236,                 1.6639,                 1.0883,              0.0094456,              0.0094456,              0.0094456
                     31,                 2.0468,                 1.3318,                 1.0022,                0.63219,                0.57463,                0.60196,                0.23829,                 2.0234,                 1.3845,                 1.0147,              0.0094258,              0.0094258,              0.0094258
                     32,                 2.1103,                 1.3339,                 1.0004,                0.53379,                 0.4785,                0.46535,                0.15712,                 2.3675,                 1.7543,                 1.1028,               0.009406,               0.009406,               0.009406
                     33,                 2.1151,                 1.3907,                 0.9975,                0.40415,                0.32563,                0.27401,                 0.0832,                 2.6332,                 2.2259,                 1.1409,              0.0093862,              0.0093862,              0.0093862
                     34,                 2.1223,                 1.3512,                0.99747,                0.32879,                0.26617,                0.17817,                0.03894,                 3.4435,                 2.2556,                 1.2613,              0.0093664,              0.0093664,              0.0093664
                     35,                 2.0889,                 1.3623,                0.98151,                0.64368,                 0.5707,                0.57793,                0.18909,                 2.1604,                 1.5533,                 1.0423,              0.0093466,              0.0093466,              0.0093466
                     36,                 2.0402,                 1.2685,                0.99233,                0.58961,                0.61828,                0.56934,                0.21414,                  2.024,                 1.4382,                 1.0319,              0.0093268,              0.0093268,              0.0093268
                     37,                 2.0316,                 1.2717,                0.99783,                0.66212,                0.61443,                0.63304,                0.22009,                 2.0509,                 1.5139,                  1.019,               0.009307,               0.009307,               0.009307
                     38,                 2.0943,                 1.3174,                0.99786,                0.60276,                0.50956,                0.55456,                0.19464,                 2.1176,                 1.7356,                 1.0501,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.9888,                 1.2319,                0.98794,                0.60732,                0.51493,                0.52872,                0.18655,                 2.1705,                 1.6457,                 1.0449,              0.0092674,              0.0092674,              0.0092674
                     40,                 2.0641,                 1.2843,                0.99835,                0.52217,                0.39688,                0.39195,                0.14548,                 2.2782,                 1.9325,                 1.0716,              0.0092476,              0.0092476,              0.0092476
                     41,                 2.0659,                 1.3083,                0.98092,                0.60935,                0.50995,                0.54674,                0.19664,                  2.227,                 1.6201,                 1.0504,              0.0092278,              0.0092278,              0.0092278
                     42,                 2.0398,                 1.2348,                0.99448,                0.54473,                0.43035,                0.44265,                 0.1477,                 2.3733,                  1.628,                 1.0937,               0.009208,               0.009208,               0.009208
                     43,                 2.0101,                 1.2371,                0.96827,                 0.6048,                0.50498,                0.54274,                0.20241,                 2.2781,                 1.8047,                 1.0877,              0.0091882,              0.0091882,              0.0091882
                     44,                 2.0476,                 1.2491,                0.98943,                0.57404,                0.45522,                0.45799,                0.15065,                  2.525,                 1.7504,                 1.1344,              0.0091684,              0.0091684,              0.0091684
                     45,                 2.0957,                 1.2699,                 1.0031,                0.62768,                0.57463,                0.58844,                0.21051,                  2.198,                 1.4076,                 1.0578,              0.0091486,              0.0091486,              0.0091486
                     46,                  2.002,                 1.2368,                0.98455,                0.66354,                0.62438,                0.64658,                0.24628,                 1.9996,                 1.3056,                 1.0121,              0.0091288,              0.0091288,              0.0091288
